elapsed_sec,process_tree_cpu_percent,system_cpu_percent,process_tree_ram_mb,system_ram_percent,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,process_count
31.271167299999888,484.5,54.4,1577.44140625,82.3,3.0,3667.1796875,6144.0,59.68716939290365,1
31.789232300000094,100.1,17.3,1189.4375,77.9,74.0,3667.1796875,6144.0,59.68716939290365,1
32.305422200000066,96.9,13.7,1189.44140625,77.9,74.0,3667.1796875,6144.0,59.68716939290365,1
32.82099429999971,90.8,18.2,1189.44140625,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
33.3358604,94.1,11.5,1189.44140625,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
33.85312930000009,103.0,11.3,1189.4453125,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
34.36883570000009,99.9,12.8,1189.4453125,77.6,99.0,3667.1796875,6144.0,59.68716939290365,1
34.884139700000105,103.2,12.1,1189.44921875,77.6,98.0,3667.1796875,6144.0,59.68716939290365,1
35.399243899999874,96.9,13.0,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
35.912694399999964,94.1,17.2,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
36.42883840000013,106.0,16.1,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
36.94502319999992,87.8,15.5,1189.44921875,77.6,98.0,3667.1796875,6144.0,59.68716939290365,1
37.46008010000014,94.1,24.6,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
37.97452320000002,96.9,11.6,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
38.48819219999996,96.9,12.1,1189.44921875,77.5,98.0,3667.1796875,6144.0,59.68716939290365,1
39.00545579999971,85.0,23.5,1189.44921875,77.6,99.0,3681.90625,6144.0,59.926859537760414,1
39.52133359999971,99.9,22.6,1189.453125,77.6,99.0,3681.90625,6144.0,59.926859537760414,1
40.036299899999904,100.1,24.6,1189.45703125,77.7,99.0,3710.15625,6144.0,60.38665771484375,1
40.55173569999988,90.8,25.8,1189.46484375,77.5,99.0,3710.15625,6144.0,60.38665771484375,1
41.06816219999973,96.9,25.6,1189.52734375,77.6,99.0,3710.15625,6144.0,60.38665771484375,1
41.58459069999981,100.1,24.2,1189.52734375,77.8,99.0,3710.15625,6144.0,60.38665771484375,1
42.09971379999979,93.9,25.6,1189.53125,77.8,99.0,3710.15625,6144.0,60.38665771484375,1
42.61432710000008,615.0,66.4,2394.97265625,86.1,11.0,3710.15625,6144.0,60.38665771484375,1
43.14002320000009,781.2,71.2,2390.9765625,86.0,11.0,3710.15625,6144.0,60.38665771484375,1
43.661058499999854,762.1,76.6,2413.5390625,86.1,3.0,3710.15625,6144.0,60.38665771484375,1
44.183667499999956,787.3,76.7,2413.5390625,86.1,3.0,3701.28125,6144.0,60.242207845052086,1
44.71109780000006,765.1,65.3,2413.5390625,85.9,1.0,3699.15625,6144.0,60.207621256510414,1
45.23663669999996,799.4,66.3,2398.41796875,85.9,1.0,3699.15625,6144.0,60.207621256510414,1
45.75717059999988,759.2,60.4,2413.5390625,86.0,1.0,3699.15625,6144.0,60.207621256510414,1
46.280983000000106,491.5,45.9,1189.53125,77.6,1.0,3699.15625,6144.0,60.207621256510414,1
46.7972491999999,103.0,13.2,1189.53125,77.5,99.0,3699.15625,6144.0,60.207621256510414,1
47.31249919999982,87.8,21.3,1189.53125,77.6,99.0,3705.53125,6144.0,60.311381022135414,1
47.8347546,100.1,15.8,1189.53125,77.6,99.0,3705.53125,6144.0,60.311381022135414,1
48.349233699999786,103.0,17.8,1190.61328125,77.6,99.0,3705.4609375,6144.0,60.31023661295573,1
48.868938799999796,51.5,26.0,1194.0390625,77.8,0.0,3704.7734375,6144.0,60.2990468343099,1
49.3835111999997,11.8,31.5,1194.05859375,78.0,0.0,3704.7734375,6144.0,60.2990468343099,1
49.910667399999966,36.4,49.5,1266.92578125,78.7,0.0,3704.7734375,6144.0,60.2990468343099,2
50.43263329999991,18.2,54.7,1194.45703125,78.5,0.0,3704.7734375,6144.0,60.2990468343099,1
